toko,nama_barang,ulasan,rating
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,Sudah beberapa kali beli iphone disini. Good,5
ismile-indonesia,Apple iPad Mini 6 Wifi 64GB 256GB,"respon dan proses cepat 
barang sesuai deskripsi 
terima kasih atas pelayanannya yg baik, semoga sehat selalu dan semakin sukses.",5
ismile-indonesia,,"respon dan proses cepat 
barang sesuai deskripsi 
terima kasih atas pelayanannya yg baik, semoga sehat selalu dan semakin sukses.",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Barang sampai dengan baik, pengiriman cepat",5
ismile-indonesia,,"Saya beli charger katanya asli. Tapi hanya 7 hari pakai sudah tidak bisa charge lagi. Sudah komplen juga, minta dus harus lengkap. Nah ini kan udah 7 hari, saya ngapain m...",1
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"Alhamdulillah mendarat dengan selamat, sudah 2x beli disini trusted bgt, admin nya juga fast respond. Terbaekk pokoknya",5
ismile-indonesia,,good banget barangnya cepat sampainya keren,5
ismile-indonesia,,DI KIRIM NESCAFE BUKA IPHONE,1
ismile-indonesia,,"original,👍👍👍👍👍",5
ismile-indonesia,,Ok,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi 128GB 256GB 512GB,"Barang diterima dengan baik, pengiriman super cepat, Mantap 👌🏻",5
ismile-indonesia,Apple iPhone 13 128GB 256GB 512GB Garansi Resmi,,5
ismile-indonesia,,,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,asli ada badaknyaaaaaaaaaaa,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,,1
ismile-indonesia,Apple Watch Series 10 2024 GPS 42mm 46mm Alumunium Case Sport Band,"Barang bagus, kemasan masih rapi. Seller responsive.",5
ismile-indonesia,,barang original. ga nyesel samsek beli di ismile. thank youu seller,5
ismile-indonesia,,"pengiriman nya sih cepat banget pakai samday 8 Jam antara 4/5 jam dah sampai mantul, packing rapih aman..
respon seller juga sangat cepat.✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐...",5
ismile-indonesia,,"Barang segel green peel, original garansi TAM, charger berfungsi dengan baik 👌🏼",5
ismile-indonesia,,,1
ismile-indonesia,,"Barang bagus berkualitas, dan bahan karetnya premium.",5
ismile-indonesia,,Charger berfungsi dengan baik. Semoga toko ini selalu memberikan pelayanan terbaiknya.,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,Barang Bagus dan Berfungsi semestinya. Saya harap pengalaman toko ini lebih baik seterusnya.,5
ismile-indonesia,,,5
ismile-indonesia,,Buble wrap my a Tuebeelll banget Trims Sellers,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,Packing Buble wrap nya tebel banget Aman dan Rapi pakai Same Delivery Jadi Cepat Sampai deh,5
ismile-indonesia,,mantapp barangnya saya sukaa barang nyaa,5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,iphone berfungsi dengan baik,5
ismile-indonesia,[ iSmile X Sefrico ] Apple iPhone 13 128GB Garansi Resmi,Good,5
ismile-indonesia,Apple AirPods 4 with Active Noise Cancellation,Sdh sampai dngn aman,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Barang sesuai dan ori
Masih tersegel
Pengiriman cepat dan aman
Dapat unit garansi TAM walau berharap dapat garansi GDN tapi gapapa tetap berfungsi dengan baik",5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,barang bagus,5
ismile-indonesia,,,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi 128GB 256GB 512GB,"barang sampe tujuan dengan rapi, packaging aman, barang ori ada garansi 1 thn, admin fast respon dan ramah",5
ismile-indonesia,Apple iPhone 13 128GB 256GB 512GB Garansi Resmi,barang masih disegel,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Terima kasih barang sesuai dengan pesanan semoga awet, dan respon toko baik dan barang cepat sampe.",5
ismile-indonesia,,"Pesanan sudah diterima dengan baik. Pengiriman dan pengemasannya oke banget. Untuk charger ini, orisinal Vention yang kompatibel untuk pengisian daya iphone 13 dan sudah...",5
ismile-indonesia,,"Pesanan sudah diterima dengan baik. Pengiriman dan pengemasannya mantap sekali. Untuk case nya sangat pas dan baik di iPhone 13, jadi terlindungi dan mendukung Magsafe. T...",5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"kualitas terbaik, garansi utuh masih segel. the best ismile",5
ismile-indonesia,,barangnya bagus dan cocok di hp ku,5
ismile-indonesia,,"Oke barangnya real original dan resmi TAM, semoga awet dan tidak ada kendala ya kedepannya


Terima kasih iSmile",5
ismile-indonesia,,Semuanya oke. Pengemasan bagus. Cepet banget sampainya. Dan barang bekerja dengan baik.,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,Req PA/A karena urgensi malah dikasih SA/A hmm,4
ismile-indonesia,[ iSmile X Sefrico ] Apple iPhone 13 128GB Garansi Resmi,"Alhamdulillah akhirnya sampai dibanjarmasin, tapi sayangny gak dapat Case sama Antigores ditoko Ni, Overall Oke Jaaa",5
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,"packing aman, box masih segel, pengiriman sat set.....pelanggan puas",5
ismile-indonesia,,Barang Datang sesuai,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,pengiriman cepat as promised. recommended seller,5
ismile-indonesia,Apple iPhone 16 Plus Garansi Resmi - 128GB 256GB 512GB,mantapp asli original iBox digimap,5
ismile-indonesia,,Mantab ori nih jadi tenang beli disini dijamin ok,5
ismile-indonesia,,Respon seller ceper banget..barang sampai dan barang dlm keadaan bagus,5
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,semoga awet,5
ismile-indonesia,,sip,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,mantap sekali real njir dapat PAA,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,Biarkan Bintang yang berbicara,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"barang di Terima dengan segel utuh, pengiriman cpt dan tepat waktu.... kurir juga sangat sopan... setelah di buka emang gak ada kepala ces nya.... Terima kasih",5
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,"bismillah. 
produk bagus sekali. terlihat dari tekstur kabel kokoh, lentur, ada tutup di kedua ujung kabel dan terpenting berkualitas. 
terima kasih iSmile dan tim eksped...",5
ismile-indonesia,Apple iPhone 13 128GB 256GB 512GB Garansi Resmi,,5
ismile-indonesia,,"Mantap terpecaya, aku sih yess manado",5
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,Barang sampai sesuai pesanan. Kalau bisa untuk kedepan pengirimannya d deskripsi barang jangan d cantumkan untuk keamanan 😊,5
ismile-indonesia,,bagus banget rekomended nge-charge nya cepet banget harga generik udah dapet charger plus kabel lagi pengiriman super cepet,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,,5
ismile-indonesia,,Oke bagus,5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"Good, barang keren. Ibox, warna sesuai pesanan. Thanks toped aku bakal repeat order kalo harganya makin murah",5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,Untuk sejauh ini baguss dan ori dapat kode PA,5
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,"waktu terima barang masih tersegel, pengiriman aman dan cepat, seller responsif, recommended",5
ismile-indonesia,,"Top Seller, rekomen pokoknya",5
ismile-indonesia,Apple iPad Pro M4 11 Inci 256GB 512GB,"Original, Barang Tersegel, pengiriman cepat",5
